qid,prompt_name,top_k,model,sc_label,sc_confidence,score,n_benefit,n_hurt,n_unknown
131843,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
146187,comparative,3,Qwen3-8B,Benefit,1.0,1.0,4,0,1
146187,comparative,5,Qwen3-8B,Benefit,1.0,1.0,3,0,2
146187,comparative,10,Qwen3-8B,Benefit,1.0,1.0,5,0,0
146187,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
146187,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
146187,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
148538,comparative,3,Qwen3-8B,Benefit,1.0,1.0,5,0,0
148538,comparative,5,Qwen3-8B,Benefit,1.0,1.0,4,0,1
148538,comparative,10,Qwen3-8B,Benefit,1.0,1.0,4,0,1
148538,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
148538,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
148538,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
156493,comparative,3,Qwen3-8B,Benefit,1.0,1.0,3,0,2
156493,comparative,5,Qwen3-8B,Benefit,1.0,1.0,2,0,3
156493,comparative,10,Qwen3-8B,Benefit,1.0,1.0,4,0,1
156493,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
156493,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
156493,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
168216,comparative,3,Qwen3-8B,Benefit,1.0,1.0,2,0,3
168216,comparative,5,Qwen3-8B,Benefit,1.0,1.0,1,0,4
168216,comparative,10,Qwen3-8B,Benefit,1.0,1.0,2,0,3
168216,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
168216,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
168216,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
182539,comparative,3,Qwen3-8B,Benefit,1.0,1.0,1,0,4
182539,comparative,5,Qwen3-8B,Unknown,0.0,1.0,0,0,5
182539,comparative,10,Qwen3-8B,Unknown,0.0,1.0,0,0,5
182539,coverage,3,Qwen3-8B,Benefit,1.0,1.0,5,0,0
182539,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
182539,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
183378,comparative,3,Qwen3-8B,Benefit,1.0,1.0,5,0,0
183378,comparative,5,Qwen3-8B,Benefit,1.0,1.0,5,0,0
183378,comparative,10,Qwen3-8B,Benefit,1.0,1.0,3,0,2
183378,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
183378,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
183378,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
207786,comparative,3,Qwen3-8B,Benefit,1.0,1.0,2,0,3
207786,comparative,5,Qwen3-8B,Benefit,1.0,1.0,3,0,2
207786,comparative,10,Qwen3-8B,Benefit,1.0,1.0,2,0,3
207786,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
207786,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
207786,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
264014,comparative,3,Qwen3-8B,Benefit,1.0,1.0,2,0,3
264014,comparative,5,Qwen3-8B,Benefit,1.0,1.0,3,0,2
264014,comparative,10,Qwen3-8B,Benefit,1.0,1.0,1,0,4
264014,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
264014,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
264014,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
359349,comparative,3,Qwen3-8B,Benefit,1.0,1.0,3,0,2
359349,comparative,5,Qwen3-8B,Benefit,1.0,1.0,3,0,2
359349,comparative,10,Qwen3-8B,Benefit,1.0,1.0,2,0,3
359349,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
359349,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
359349,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
405717,comparative,3,Qwen3-8B,Unknown,0.0,1.0,0,0,5
405717,comparative,5,Qwen3-8B,Benefit,1.0,1.0,2,0,3
405717,comparative,10,Qwen3-8B,Benefit,1.0,1.0,2,0,3
405717,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
405717,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
405717,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
443396,comparative,3,Qwen3-8B,Benefit,1.0,1.0,2,0,3
443396,comparative,5,Qwen3-8B,Unknown,0.0,1.0,0,0,5
443396,comparative,10,Qwen3-8B,Unknown,0.0,1.0,0,0,5
443396,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
443396,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
443396,coverage,10,Qwen3-8B,Benefit,1.0,1.0,5,0,0
451602,comparative,3,Qwen3-8B,Benefit,1.0,1.0,1,0,4
451602,comparative,5,Qwen3-8B,Benefit,1.0,1.0,1,0,4
451602,comparative,10,Qwen3-8B,Unknown,0.0,1.0,0,0,5
451602,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
451602,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
451602,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
489204,comparative,3,Qwen3-8B,Unknown,0.0,1.0,0,0,5
489204,comparative,5,Qwen3-8B,Benefit,1.0,1.0,1,0,4
489204,comparative,10,Qwen3-8B,Benefit,1.0,1.0,4,0,1
489204,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
489204,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
489204,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
490595,comparative,3,Qwen3-8B,Benefit,1.0,1.0,2,0,3
490595,comparative,5,Qwen3-8B,Unknown,0.0,1.0,0,0,5
490595,comparative,10,Qwen3-8B,Benefit,1.0,1.0,2,0,3
490595,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
490595,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
490595,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
527433,comparative,3,Qwen3-8B,Benefit,1.0,1.0,1,0,4
527433,comparative,5,Qwen3-8B,Unknown,0.0,1.0,0,0,5
527433,comparative,10,Qwen3-8B,Unknown,0.0,1.0,0,0,5
527433,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
527433,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
527433,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
573724,comparative,3,Qwen3-8B,Benefit,0.75,0.75,3,1,1
573724,comparative,5,Qwen3-8B,Benefit,1.0,1.0,1,0,4
573724,comparative,10,Qwen3-8B,Benefit,1.0,1.0,2,0,3
573724,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
573724,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
573724,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
833860,comparative,3,Qwen3-8B,Benefit,1.0,1.0,2,0,3
833860,comparative,5,Qwen3-8B,Benefit,1.0,1.0,3,0,2
833860,comparative,10,Qwen3-8B,Benefit,1.0,1.0,1,0,4
833860,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
833860,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
833860,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
855410,comparative,3,Qwen3-8B,Unknown,0.0,1.0,0,0,5
855410,comparative,5,Qwen3-8B,Benefit,1.0,1.0,1,0,4
855410,comparative,10,Qwen3-8B,Unknown,0.0,1.0,0,0,5
855410,coverage,3,Qwen3-8B,Benefit,1.0,1.0,5,0,0
855410,coverage,5,Qwen3-8B,Benefit,1.0,1.0,5,0,0
855410,coverage,10,Qwen3-8B,Benefit,1.0,1.0,5,0,0
915593,comparative,3,Qwen3-8B,Benefit,1.0,1.0,4,0,1
915593,comparative,5,Qwen3-8B,Benefit,1.0,1.0,4,0,1
915593,comparative,10,Qwen3-8B,Benefit,1.0,1.0,4,0,1
915593,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
915593,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
915593,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
962179,comparative,3,Qwen3-8B,Benefit,1.0,1.0,5,0,0
962179,comparative,5,Qwen3-8B,Benefit,0.8,0.8,4,1,0
962179,comparative,10,Qwen3-8B,Benefit,1.0,1.0,4,0,1
962179,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
962179,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
962179,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1037798,comparative,3,Qwen3-8B,Benefit,0.5,0.5,1,1,3
1037798,comparative,5,Qwen3-8B,Benefit,1.0,1.0,1,0,4
1037798,comparative,10,Qwen3-8B,Unknown,0.0,1.0,0,0,5
1037798,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1037798,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1037798,coverage,10,Qwen3-8B,Hurt,0.6,0.4,2,3,0
1063750,comparative,3,Qwen3-8B,Benefit,1.0,1.0,1,0,4
1063750,comparative,5,Qwen3-8B,Unknown,0.0,1.0,0,0,5
1063750,comparative,10,Qwen3-8B,Unknown,0.0,1.0,0,0,5
1063750,coverage,3,Qwen3-8B,Benefit,1.0,1.0,5,0,0
1063750,coverage,5,Qwen3-8B,Benefit,1.0,1.0,5,0,0
1063750,coverage,10,Qwen3-8B,Benefit,1.0,1.0,5,0,0
1103812,comparative,3,Qwen3-8B,Benefit,1.0,1.0,1,0,4
1103812,comparative,5,Qwen3-8B,Benefit,1.0,1.0,2,0,3
1103812,comparative,10,Qwen3-8B,Benefit,1.0,1.0,1,0,4
1103812,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1103812,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1103812,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1106007,comparative,3,Qwen3-8B,Benefit,0.6666666666666666,0.6666666666666666,2,1,2
1106007,comparative,5,Qwen3-8B,Benefit,1.0,1.0,5,0,0
1106007,comparative,10,Qwen3-8B,Benefit,1.0,1.0,3,0,2
1106007,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1106007,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1106007,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1110199,comparative,3,Qwen3-8B,Benefit,1.0,1.0,2,0,3
1110199,comparative,5,Qwen3-8B,Benefit,1.0,1.0,1,0,4
1110199,comparative,10,Qwen3-8B,Benefit,1.0,1.0,2,0,3
1110199,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1110199,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1110199,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1112341,comparative,3,Qwen3-8B,Unknown,0.0,1.0,0,0,5
1112341,comparative,5,Qwen3-8B,Unknown,0.0,1.0,0,0,5
1112341,comparative,10,Qwen3-8B,Benefit,1.0,1.0,2,0,3
1112341,coverage,3,Qwen3-8B,Benefit,1.0,1.0,5,0,0
1112341,coverage,5,Qwen3-8B,Benefit,1.0,1.0,5,0,0
1112341,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1113437,comparative,3,Qwen3-8B,Benefit,1.0,1.0,1,0,4
1113437,comparative,5,Qwen3-8B,Benefit,1.0,1.0,1,0,4
1113437,comparative,10,Qwen3-8B,Benefit,1.0,1.0,1,0,4
1113437,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1113437,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1113437,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1114646,comparative,3,Qwen3-8B,Benefit,1.0,1.0,2,0,3
1114646,comparative,5,Qwen3-8B,Unknown,0.0,1.0,0,0,5
1114646,comparative,10,Qwen3-8B,Unknown,0.0,1.0,0,0,5
1114646,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1114646,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1114646,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1114819,comparative,3,Qwen3-8B,Benefit,1.0,1.0,1,0,4
1114819,comparative,5,Qwen3-8B,Unknown,0.0,1.0,0,0,5
1114819,comparative,10,Qwen3-8B,Benefit,1.0,1.0,5,0,0
1114819,coverage,3,Qwen3-8B,Benefit,1.0,1.0,5,0,0
1114819,coverage,5,Qwen3-8B,Benefit,1.0,1.0,5,0,0
1114819,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1115776,comparative,3,Qwen3-8B,Benefit,0.6666666666666666,0.6666666666666666,2,1,2
1115776,comparative,5,Qwen3-8B,Benefit,1.0,1.0,3,0,2
1115776,comparative,10,Qwen3-8B,Benefit,1.0,1.0,2,0,3
1115776,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1115776,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1115776,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1117099,comparative,3,Qwen3-8B,Benefit,1.0,1.0,2,0,3
1117099,comparative,5,Qwen3-8B,Benefit,1.0,1.0,3,0,2
1117099,comparative,10,Qwen3-8B,Benefit,1.0,1.0,3,0,2
1117099,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1117099,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1117099,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1121402,comparative,3,Qwen3-8B,Benefit,1.0,1.0,2,0,3
1121402,comparative,5,Qwen3-8B,Benefit,1.0,1.0,2,0,3
1121402,comparative,10,Qwen3-8B,Benefit,1.0,1.0,3,0,2
1121402,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1121402,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1121402,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1121709,comparative,3,Qwen3-8B,Benefit,1.0,1.0,4,0,1
1121709,comparative,5,Qwen3-8B,Benefit,1.0,1.0,3,0,2
1121709,comparative,10,Qwen3-8B,Benefit,1.0,1.0,2,0,3
1121709,coverage,3,Qwen3-8B,Benefit,1.0,1.0,5,0,0
1121709,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1121709,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1124210,comparative,3,Qwen3-8B,Benefit,1.0,1.0,1,0,4
1124210,comparative,5,Qwen3-8B,Benefit,1.0,1.0,1,0,4
1124210,comparative,10,Qwen3-8B,Benefit,1.0,1.0,1,0,4
1124210,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1124210,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1124210,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1129237,comparative,3,Qwen3-8B,Benefit,1.0,1.0,4,0,1
1129237,comparative,5,Qwen3-8B,Benefit,1.0,1.0,4,0,1
1129237,comparative,10,Qwen3-8B,Benefit,1.0,1.0,1,0,4
1129237,coverage,3,Qwen3-8B,Benefit,1.0,1.0,5,0,0
1129237,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1129237,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1133167,comparative,3,Qwen3-8B,Benefit,1.0,1.0,4,0,1
1133167,comparative,5,Qwen3-8B,Benefit,1.0,1.0,5,0,0
1133167,comparative,10,Qwen3-8B,Benefit,1.0,1.0,4,0,1
1133167,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1133167,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
1133167,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
19335,comparative,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
19335,comparative,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
19335,comparative,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
19335,coverage,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
19335,coverage,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
19335,coverage,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
47923,comparative,3,Qwen3-14B,Benefit,1.0,1.0,1,0,4
47923,comparative,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
47923,comparative,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
47923,coverage,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
47923,coverage,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
47923,coverage,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
87181,comparative,3,Qwen3-14B,Benefit,1.0,1.0,1,0,4
87181,comparative,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
87181,comparative,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
87181,coverage,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
87181,coverage,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
87181,coverage,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
87452,comparative,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
87452,comparative,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
87452,comparative,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
87452,coverage,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
87452,coverage,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
87452,coverage,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
104861,comparative,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
104861,comparative,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
104861,comparative,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
104861,coverage,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
104861,coverage,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
104861,coverage,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
130510,comparative,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
130510,comparative,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
130510,comparative,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
130510,coverage,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
130510,coverage,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
130510,coverage,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
131843,comparative,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
131843,comparative,5,Qwen3-14B,Hurt,1.0,0.0,0,1,4
131843,comparative,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
131843,coverage,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
131843,coverage,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
131843,coverage,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
146187,comparative,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
146187,comparative,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
146187,comparative,10,Qwen3-14B,Hurt,1.0,0.0,0,1,4
146187,coverage,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
146187,coverage,5,Qwen3-14B,Benefit,1.0,1.0,1,0,4
146187,coverage,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
148538,comparative,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
148538,comparative,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
148538,comparative,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
148538,coverage,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
148538,coverage,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
148538,coverage,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
156493,comparative,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
156493,comparative,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
156493,comparative,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
156493,coverage,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
156493,coverage,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
156493,coverage,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
168216,comparative,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
168216,comparative,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
168216,comparative,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
168216,coverage,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
168216,coverage,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
168216,coverage,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
182539,comparative,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
182539,comparative,5,Qwen3-14B,Hurt,1.0,0.0,0,1,4
182539,comparative,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
182539,coverage,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
182539,coverage,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
182539,coverage,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
183378,comparative,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
183378,comparative,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
183378,comparative,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
183378,coverage,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
183378,coverage,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
183378,coverage,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
207786,comparative,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
207786,comparative,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
207786,comparative,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
207786,coverage,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
207786,coverage,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
207786,coverage,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
264014,comparative,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
264014,comparative,5,Qwen3-14B,Hurt,1.0,0.0,0,1,4
264014,comparative,10,Qwen3-14B,Hurt,1.0,0.0,0,1,4
264014,coverage,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
264014,coverage,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
264014,coverage,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
359349,comparative,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
359349,comparative,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
359349,comparative,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
359349,coverage,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
359349,coverage,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
359349,coverage,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
405717,comparative,3,Qwen3-14B,Hurt,1.0,0.0,0,1,4
405717,comparative,5,Qwen3-14B,Benefit,1.0,1.0,1,0,4
405717,comparative,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
405717,coverage,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
405717,coverage,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
405717,coverage,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
443396,comparative,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
443396,comparative,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
443396,comparative,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
443396,coverage,3,Qwen3-14B,Benefit,1.0,1.0,1,0,4
443396,coverage,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
443396,coverage,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
451602,comparative,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
451602,comparative,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
451602,comparative,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
451602,coverage,3,Qwen3-14B,Unknown,0.0,1.0,0,0,5
451602,coverage,5,Qwen3-14B,Unknown,0.0,1.0,0,0,5
451602,coverage,10,Qwen3-14B,Unknown,0.0,1.0,0,0,5
